period,t_start,t_end,true_incidence,reported_incidence,eta,rep
1,0.0,7.0,36,36.0,2.5,1
2,7.0,14.0,166,166.0,2.5,1
3,14.0,21.0,433,433.0,2.5,1
4,21.0,28.0,232,232.0,2.5,1
5,28.0,35.0,61,61.0,2.5,1
6,35.0,42.0,16,16.0,2.5,1
7,42.0,49.0,5,5.0,2.5,1
8,49.0,56.0,4,4.0,2.5,1
9,56.0,63.0,0,0.0,2.5,1
10,63.0,70.0,2,2.0,2.5,1
11,70.0,77.0,0,0.0,2.5,1
12,77.0,84.0,1,1.0,2.5,1
13,84.0,91.0,0,0.0,2.5,1
14,91.0,98.0,0,0.0,2.5,1
15,98.0,105.0,0,0.0,2.5,1
16,105.0,112.0,0,0.0,2.5,1
17,112.0,119.0,0,0.0,2.5,1
18,119.0,126.0,0,0.0,2.5,1
19,126.0,133.0,0,0.0,2.5,1
20,133.0,140.0,0,0.0,2.5,1
21,140.0,147.0,0,0.0,2.5,1
1,0.0,7.0,3,3.0,2.5,2
2,7.0,14.0,13,13.0,2.5,2
3,14.0,21.0,66,66.0,2.5,2
4,21.0,28.0,386,386.0,2.5,2
5,28.0,35.0,342,342.0,2.5,2
6,35.0,42.0,100,100.0,2.5,2
7,42.0,49.0,36,36.0,2.5,2
8,49.0,56.0,10,10.0,2.5,2
9,56.0,63.0,4,4.0,2.5,2
10,63.0,70.0,5,5.0,2.5,2
11,70.0,77.0,1,1.0,2.5,2
12,77.0,84.0,1,1.0,2.5,2
13,84.0,91.0,0,0.0,2.5,2
14,91.0,98.0,0,0.0,2.5,2
15,98.0,105.0,1,1.0,2.5,2
16,105.0,112.0,0,0.0,2.5,2
17,112.0,119.0,0,0.0,2.5,2
18,119.0,126.0,0,0.0,2.5,2
19,126.0,133.0,0,0.0,2.5,2
20,133.0,140.0,0,0.0,2.5,2
21,140.0,147.0,0,0.0,2.5,2
1,0.0,7.0,74,74.0,2.5,3
2,7.0,14.0,310,310.0,2.5,3
3,14.0,21.0,356,356.0,2.5,3
4,21.0,28.0,144,144.0,2.5,3
5,28.0,35.0,57,57.0,2.5,3
6,35.0,42.0,13,13.0,2.5,3
7,42.0,49.0,2,2.0,2.5,3
8,49.0,56.0,3,3.0,2.5,3
9,56.0,63.0,2,2.0,2.5,3
10,63.0,70.0,0,0.0,2.5,3
11,70.0,77.0,0,0.0,2.5,3
12,77.0,84.0,0,0.0,2.5,3
13,84.0,91.0,0,0.0,2.5,3
14,91.0,98.0,0,0.0,2.5,3
15,98.0,105.0,0,0.0,2.5,3
16,105.0,112.0,0,0.0,2.5,3
17,112.0,119.0,0,0.0,2.5,3
18,119.0,126.0,0,0.0,2.5,3
19,126.0,133.0,0,0.0,2.5,3
20,133.0,140.0,0,0.0,2.5,3
21,140.0,147.0,0,0.0,2.5,3
1,0.0,7.0,12,12.0,2.5,4
2,7.0,14.0,67,67.0,2.5,4
3,14.0,21.0,269,269.0,2.5,4
4,21.0,28.0,372,372.0,2.5,4
5,28.0,35.0,161,161.0,2.5,4
6,35.0,42.0,56,56.0,2.5,4
7,42.0,49.0,15,15.0,2.5,4
8,49.0,56.0,5,5.0,2.5,4
9,56.0,63.0,2,2.0,2.5,4
10,63.0,70.0,0,0.0,2.5,4
11,70.0,77.0,0,0.0,2.5,4
12,77.0,84.0,0,0.0,2.5,4
13,84.0,91.0,0,0.0,2.5,4
14,91.0,98.0,0,0.0,2.5,4
15,98.0,105.0,0,0.0,2.5,4
16,105.0,112.0,0,0.0,2.5,4
17,112.0,119.0,0,0.0,2.5,4
18,119.0,126.0,0,0.0,2.5,4
19,126.0,133.0,0,0.0,2.5,4
20,133.0,140.0,0,0.0,2.5,4
21,140.0,147.0,0,0.0,2.5,4
1,0.0,7.0,20,20.0,2.5,5
2,7.0,14.0,145,145.0,2.5,5
3,14.0,21.0,414,414.0,2.5,5
4,21.0,28.0,281,281.0,2.5,5
5,28.0,35.0,65,65.0,2.5,5
6,35.0,42.0,23,23.0,2.5,5
7,42.0,49.0,5,5.0,2.5,5
8,49.0,56.0,3,3.0,2.5,5
9,56.0,63.0,1,1.0,2.5,5
10,63.0,70.0,1,1.0,2.5,5
11,70.0,77.0,0,0.0,2.5,5
12,77.0,84.0,1,1.0,2.5,5
13,84.0,91.0,0,0.0,2.5,5
14,91.0,98.0,0,0.0,2.5,5
15,98.0,105.0,0,0.0,2.5,5
16,105.0,112.0,0,0.0,2.5,5
17,112.0,119.0,0,0.0,2.5,5
18,119.0,126.0,0,0.0,2.5,5
19,126.0,133.0,0,0.0,2.5,5
20,133.0,140.0,0,0.0,2.5,5
21,140.0,147.0,0,0.0,2.5,5
1,0.0,7.0,103,103.0,2.5,6
2,7.0,14.0,295,295.0,2.5,6
3,14.0,21.0,344,344.0,2.5,6
4,21.0,28.0,147,147.0,2.5,6
5,28.0,35.0,51,51.0,2.5,6
6,35.0,42.0,11,11.0,2.5,6
7,42.0,49.0,8,8.0,2.5,6
8,49.0,56.0,2,2.0,2.5,6
9,56.0,63.0,1,1.0,2.5,6
10,63.0,70.0,1,1.0,2.5,6
11,70.0,77.0,0,0.0,2.5,6
12,77.0,84.0,0,0.0,2.5,6
13,84.0,91.0,0,0.0,2.5,6
14,91.0,98.0,0,0.0,2.5,6
15,98.0,105.0,0,0.0,2.5,6
16,105.0,112.0,0,0.0,2.5,6
17,112.0,119.0,0,0.0,2.5,6
18,119.0,126.0,0,0.0,2.5,6
19,126.0,133.0,0,0.0,2.5,6
20,133.0,140.0,0,0.0,2.5,6
21,140.0,147.0,0,0.0,2.5,6
1,0.0,7.0,56,56.0,2.5,7
2,7.0,14.0,311,311.0,2.5,7
3,14.0,21.0,422,422.0,2.5,7
4,21.0,28.0,139,139.0,2.5,7
5,28.0,35.0,31,31.0,2.5,7
6,35.0,42.0,7,7.0,2.5,7
7,42.0,49.0,4,4.0,2.5,7
8,49.0,56.0,1,1.0,2.5,7
9,56.0,63.0,0,0.0,2.5,7
10,63.0,70.0,0,0.0,2.5,7
11,70.0,77.0,0,0.0,2.5,7
12,77.0,84.0,1,1.0,2.5,7
